customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_type,internet_service,internet_type,service_type_phone_internet,contract_type,contract_description,payment_type,monthly_charges,total_charges,churn,monthly_tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date_today_tenure,average_monthly_charges
0020-JDNXP,Female,0,Yes,Yes,0,No Phone Service,1,DSL,2,1,1 Year,Mailed check,$61.25,"$1,993.20",No,33,1,0,0,1,0,3,20211129,$61.25
0021-IKXGC,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$72.10,$72.10,No,1,1,0,1,1,1,0,20211029,$72.10
0022-TCJCI,Male,1,No,No,1,One Line,1,DSL,3,1,1 Year,Credit card (automatic),$62.70,"$2,791.50",Yes,45,0,1,1,1,1,0,20211211,$62.70
0023-HGHWL,Male,1,No,No,0,No Phone Service,1,DSL,2,0,Month-to-Month,Electronic check,$25.10,$25.10,Yes,1,0,1,0,1,0,0,20211029,$25.10
0023-UYUPN,Female,1,Yes,No,2,Two or More Lines,0,No Internet Service,1,1,1 Year,Electronic check,$25.20,"$1,306.30",No,52,1,0,1,0,0,1,20211218,$25.20
0023-XUOPT,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$94.10,"$1,215.60",Yes,13,1,1,1,1,1,1,20211109,$94.10
0027-KWYKW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$83.75,"$1,849.95",No,22,1,0,1,1,1,3,20211119,$83.75
0030-FNXPP,Female,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Mailed check,$19.85,$57.20,No,3,1,0,1,0,0,0,20211030,$19.85
0031-PVLZI,Female,0,Yes,Yes,1,One Line,0,No Internet Service,1,0,Month-to-Month,Mailed check,$20.35,$76.35,Yes,4,1,1,1,0,0,3,20211031,$20.35
0032-PGELS,Female,0,Yes,Yes,0,No Phone Service,1,DSL,2,0,Month-to-Month,Bank transfer (automatic),$30.50,$30.50,Yes,1,1,1,0,1,0,3,20211029,$30.50
0036-IHMOT,Female,0,Yes,Yes,1,One Line,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$103.70,"$5,656.75",No,55,1,0,1,1,1,3,20211221,$103.70
0040-HALCW,Male,0,Yes,Yes,1,One Line,0,No Internet Service,1,2,2 Year,Credit card (automatic),$20.40,"$1,090.60",No,53,0,0,1,0,0,3,20211220,$20.40
0042-JVWOJ,Male,0,No,No,1,One Line,0,No Internet Service,1,1,1 Year,Bank transfer (automatic),$19.60,$471.85,No,24,0,0,1,0,0,0,20211121,$19.60
0042-RLHYP,Female,0,Yes,Yes,1,One Line,0,No Internet Service,1,2,2 Year,Bank transfer (automatic),$19.70,"$1,396.90",No,71,1,0,1,0,0,3,20220106,$19.70
0048-LUMLS,Male,0,Yes,Yes,1,One Line,2,Fiber Optic,3,1,1 Year,Credit card (automatic),$91.20,"$3,247.55",No,36,0,0,1,1,1,3,20211202,$91.20
0048-PIHNL,Female,0,Yes,No,1,One Line,0,No Internet Service,1,1,1 Year,Bank transfer (automatic),$20.45,$900.90,No,44,1,0,1,0,0,1,20211211,$20.45
0052-DCKON,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$115.80,"$7,942.15",No,69,0,0,1,1,1,1,20220104,$115.80
0052-YNYOT,Female,0,No,No,1,One Line,0,No Internet Service,1,1,1 Year,Electronic check,$20.55,"$1,343.40",No,65,1,0,1,0,0,0,20220101,$20.55
0056-EPFBG,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,2,2 Year,Credit card (automatic),$39.40,$825.40,No,21,0,0,0,1,0,3,20211117,$39.40
0057-QBUQH,Female,0,No,Yes,2,Two or More Lines,0,No Internet Service,1,2,2 Year,Electronic check,$25.10,"$1,070.15",No,43,1,0,1,0,0,2,20211209,$25.10
0058-EVZWM,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$89.80,"$4,959.60",No,55,1,0,1,1,1,1,20211222,$89.80
0060-FUALY,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$94.75,"$5,597.65",No,59,1,0,1,1,1,1,20211226,$94.75
0064-SUDOG,Female,0,Yes,Yes,1,One Line,0,No Internet Service,1,2,2 Year,Bank transfer (automatic),$20.30,$224.50,No,11,1,0,1,0,0,3,20211108,$20.30
0064-YIJGF,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$75.75,"$1,929.00",No,25,0,0,1,1,1,3,20211122,$75.75
0067-DKWBL,Male,1,No,No,1,One Line,1,DSL,3,0,Month-to-Month,Electronic check,$49.25,$91.10,Yes,2,0,1,1,1,1,0,20211029,$49.25
0068-FIGTF,Female,0,No,No,1,One Line,1,DSL,3,1,1 Year,Mailed check,$78.20,"$2,078.95",No,27,1,0,1,1,1,0,20211123,$78.20
0071-NDAFP,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,1,2,2 Year,Credit card (automatic),$25.50,$630.60,No,25,0,0,1,0,0,3,20211121,$25.50
0074-HDKDG,Male,0,Yes,Yes,1,One Line,1,DSL,3,1,1 Year,Bank transfer (automatic),$61.60,"$1,611.00",No,26,0,0,1,1,1,3,20211123,$61.60
0076-LVEPS,Male,0,No,Yes,0,No Phone Service,1,DSL,2,0,Month-to-Month,Mailed check,$45.00,"$1,242.45",No,28,0,0,0,1,0,2,20211124,$45.00
0078-XZMHT,Male,0,Yes,No,2,Two or More Lines,1,DSL,3,2,2 Year,Bank transfer (automatic),$85.15,"$6,316.20",No,74,0,0,1,1,1,1,20220110,$85.15
0080-EMYVY,Female,0,No,No,1,One Line,1,DSL,3,1,1 Year,Credit card (automatic),$51.45,$727.85,No,14,1,0,1,1,1,0,20211111,$51.45
0080-OROZO,Female,0,No,No,1,One Line,2,Fiber Optic,3,1,1 Year,Electronic check,$99.25,"$3,532.00",No,36,1,0,1,1,1,0,20211202,$99.25
0082-LDZUE,Male,0,No,No,1,One Line,1,DSL,3,0,Month-to-Month,Mailed check,$44.30,$44.30,No,1,0,0,1,1,1,0,20211029,$44.30
0082-OQIQY,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$94.20,"$2,607.60",No,28,0,0,1,1,1,0,20211124,$94.20
0083-PIVIK,Male,0,No,No,2,Two or More Lines,1,DSL,3,1,1 Year,Electronic check,$81.25,"$5,567.55",No,69,0,0,1,1,1,0,20220104,$81.25
0089-IIQKO,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$99.95,"$3,767.40",No,38,1,0,1,1,1,3,20211204,$99.95
0093-EXYQL,Female,1,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$91.55,"$3,673.60",No,40,1,0,1,1,1,0,20211207,$91.55
0093-XWZFY,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$104.50,"$4,036.85",Yes,39,0,1,1,1,1,0,20211205,$104.50
0094-OIFMO,Female,1,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$95.00,"$1,120.30",Yes,12,1,1,1,1,1,0,20211108,$95.00
0096-BXERS,Female,0,Yes,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Electronic check,$50.35,$314.55,No,6,1,0,1,1,1,1,20211103,$50.35
0096-FCPUF,Male,0,No,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Mailed check,$64.50,"$1,888.45",No,29,0,0,1,1,1,0,20211126,$64.50
0098-BOWSO,Male,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Electronic check,$19.40,$529.80,No,27,0,0,1,0,0,0,20211124,$19.40
0100-DUVFC,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Electronic check,$104.80,"$7,308.95",No,70,0,0,1,1,1,1,20220105,$104.80
0103-CSITQ,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$109.40,"$6,252.70",No,57,1,0,1,1,1,1,20211224,$109.40
0104-PPXDV,Male,0,Yes,No,1,One Line,1,DSL,3,1,1 Year,Credit card (automatic),$50.30,"$2,878.55",No,57,0,0,1,1,1,1,20211224,$50.30
0106-GHRQR,Male,0,No,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Bank transfer (automatic),$71.40,"$1,212.10",No,17,0,0,1,1,1,0,20211113,$71.40
0106-UGRDO,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Electronic check,$116.00,"$8,182.85",No,71,1,0,1,1,1,1,20220106,$116.00
0107-WESLM,Male,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Electronic check,$19.85,$19.85,Yes,1,0,1,1,0,0,0,20211029,$19.85
0107-YHINA,Male,0,No,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$99.75,$99.75,Yes,1,0,1,1,1,1,2,20211029,$99.75
0111-KLBQG,Male,1,Yes,Yes,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$93.95,"$2,861.45",No,30,0,0,1,1,1,3,20211127,$93.95
0112-QAWRZ,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$90.80,"$1,442.20",No,16,0,0,1,1,1,3,20211112,$90.80
0112-QWPNC,Male,0,Yes,No,2,Two or More Lines,1,DSL,3,1,1 Year,Electronic check,$84.35,"$4,059.35",Yes,48,0,1,1,1,1,1,20211215,$84.35
0114-IGABW,Female,0,Yes,No,0,No Phone Service,1,DSL,2,2,2 Year,Bank transfer (automatic),$58.25,"$4,145.90",No,71,1,0,0,1,0,1,20220107,$58.25
0114-PEGZZ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$107.55,"$3,645.50",No,34,1,0,1,1,1,0,20211130,$107.55
0114-RSRRW,Female,0,Yes,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Bank transfer (automatic),$19.95,$187.75,No,9,1,0,1,0,0,1,20211106,$19.95
0115-TFERT,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$111.20,"$2,317.10",Yes,21,0,1,1,1,1,1,20211117,$111.20
0117-LFRMW,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,0,Month-to-Month,Bank transfer (automatic),$40.20,"$1,448.80",Yes,36,0,1,0,1,0,3,20211203,$40.20
0118-JPNOY,Female,1,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$85.80,"$2,193.65",No,26,1,0,1,1,1,0,20211122,$85.80
0121-SNYRK,Male,0,No,No,0,No Phone Service,1,DSL,2,1,1 Year,Mailed check,$35.40,"$1,748.90",No,49,0,0,0,1,0,0,20211216,$35.40
0122-OAHPZ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$73.85,$511.25,Yes,7,1,1,1,1,1,0,20211103,$73.85
0123-CRBRT,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,3,2,2 Year,Mailed check,$88.10,"$5,526.75",No,63,1,0,1,1,1,3,20211229,$88.10
0125-LZQXK,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$101.35,"$1,553.95",Yes,15,0,1,1,1,1,0,20211112,$101.35
0128-MKWSG,Female,0,No,Yes,0,No Phone Service,1,DSL,2,0,Month-to-Month,Mailed check,$45.80,"$1,147.00",No,25,1,0,0,1,0,2,20211122,$45.80
0129-KPTWJ,Male,0,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$94.65,"$6,747.35",No,71,0,0,1,1,1,1,20220107,$94.65
0129-QMPDR,Male,0,Yes,Yes,1,One Line,0,No Internet Service,1,1,1 Year,Bank transfer (automatic),$20.50,$865.05,No,42,0,0,1,0,0,3,20211209,$20.50
0130-SXOUN,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$89.40,"$5,976.90",No,67,0,0,1,1,1,0,20220102,$89.40
0133-BMFZO,Female,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$86.25,$181.65,Yes,2,1,1,1,1,1,0,20211030,$86.25
0134-XWXCE,Female,1,No,No,1,One Line,1,DSL,3,1,1 Year,Bank transfer (automatic),$74.85,"$3,268.05",No,44,1,0,1,1,1,0,20211210,$74.85
0135-NMXAP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$89.75,"$1,052.40",Yes,12,1,1,1,1,1,0,20211108,$89.75
0136-IFMYD,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Electronic check,$109.95,"$7,634.25",No,69,0,0,1,1,1,1,20220105,$109.95
0137-OCGAB,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$80.20,$80.20,Yes,1,1,1,1,1,1,0,20211029,$80.20
0137-UDEUO,Female,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Mailed check,$19.85,$63.75,Yes,3,1,1,1,0,0,0,20211031,$19.85
0139-IVFJG,Female,0,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$90.35,$190.50,No,2,1,0,1,1,1,1,20211030,$90.35
0141-YEAYS,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$86.45,"$2,401.05",No,28,1,0,1,1,1,0,20211124,$86.45
0142-GVYSN,Male,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Electronic check,$20.30,$511.25,No,25,0,0,1,0,0,0,20211122,$20.30
0147-ESWWR,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$101.25,"$3,949.15",No,39,1,0,1,1,1,1,20211206,$101.25
0148-DCDOS,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$94.70,"$2,362.10",Yes,25,0,1,1,1,1,0,20211121,$94.70
0151-ONTOV,Female,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$70.90,$70.90,Yes,1,1,1,1,1,1,0,20211029,$70.90
0156-FVPTA,Male,0,Yes,No,1,One Line,1,DSL,3,0,Month-to-Month,Electronic check,$54.20,"$1,152.70",Yes,21,0,1,1,1,1,1,20211118,$54.20
0164-APGRB,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Electronic check,$114.90,"$8,496.70",No,74,1,0,1,1,1,0,20220109,$114.90
0164-XAIRP,Female,0,No,No,1,One Line,0,No Internet Service,1,2,2 Year,Bank transfer (automatic),$19.55,$470.20,No,24,1,0,1,0,0,0,20211121,$19.55
0168-XZKBB,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$86.85,"$1,564.40",No,18,1,0,1,1,1,1,20211115,$86.85
0174-QRVVY,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,1,2,2 Year,Credit card (automatic),$25.35,"$1,847.55",No,73,0,0,1,0,0,3,20220108,$25.35
0177-PXBAT,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$109.90,"$3,694.70",No,34,0,0,1,1,1,1,20211130,$109.90
0178-CIIKR,Female,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Mailed check,$19.95,$58.00,No,3,1,0,1,0,0,0,20211030,$19.95
0178-SZBHO,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$87.20,"$4,017.45",No,46,0,0,1,1,1,3,20211213,$87.20
0181-RITDD,Male,0,Yes,Yes,1,One Line,2,Fiber Optic,3,2,2 Year,Mailed check,$108.15,"$6,825.65",No,63,0,0,1,1,1,3,20211230,$108.15
0186-CAERR,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$116.30,"$8,309.55",No,71,0,0,1,1,1,0,20220107,$116.30
0187-QSXOE,Male,1,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$89.00,$605.45,No,7,0,0,1,1,1,1,20211103,$89.00
0187-WZNAB,Female,0,Yes,Yes,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$74.40,"$1,972.35",No,27,1,0,1,1,1,3,20211123,$74.40
0188-GWFLE,Male,0,No,No,1,One Line,0,No Internet Service,1,0,Month-to-Month,Mailed check,$20.05,$33.70,No,2,0,0,1,0,0,0,20211029,$20.05
0191-EQUUH,Female,0,No,Yes,0,No Phone Service,1,DSL,2,2,2 Year,Bank transfer (automatic),$35.05,$844.45,No,24,1,0,0,1,0,2,20211121,$35.05
0191-ZHSKZ,Male,1,No,No,1,One Line,1,DSL,3,0,Month-to-Month,Electronic check,$74.75,"$2,111.30",No,28,0,0,1,1,1,0,20211125,$74.75
0193-ESZXP,Female,1,Yes,No,1,One Line,2,Fiber Optic,3,1,1 Year,Credit card (automatic),$105.50,"$6,205.50",Yes,59,1,1,1,1,1,1,20211225,$105.50
0195-IESCP,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$85.25,$855.30,Yes,10,0,1,1,1,1,1,20211107,$85.25
0196-JTUQI,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$75.20,$633.85,No,8,1,0,1,1,1,0,20211105,$75.20
0196-VULGZ,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$84.35,$474.90,Yes,6,1,1,1,1,1,1,20211102,$84.35
0197-PNKNK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$84.45,"$5,848.60",No,69,1,0,1,1,1,3,20220105,$84.45
0201-MIBOL,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Bank transfer (automatic),$102.40,"$6,471.85",No,63,1,0,1,1,1,0,20211230,$102.40
0201-OAMXR,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Credit card (automatic),$115.55,"$8,127.60",Yes,70,1,1,1,1,1,0,20220106,$115.55
0203-HHYIJ,Male,0,No,No,2,Two or More Lines,0,No Internet Service,1,1,1 Year,Bank transfer (automatic),$25.30,$676.35,Yes,27,0,1,1,0,0,0,20211123,$25.30
0206-OYVOC,Female,0,Yes,Yes,1,One Line,0,No Internet Service,1,2,2 Year,Mailed check,$19.25,$864.20,No,45,1,0,1,0,0,3,20211211,$19.25
0206-TBWLC,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Mailed check,$114.65,"$6,049.50",No,53,1,0,1,1,1,1,20211219,$114.65
0207-MDKNV,Female,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$105.10,"$1,582.75",Yes,15,1,1,1,1,1,0,20211112,$105.10
0208-BPQEJ,Female,0,Yes,Yes,1,One Line,0,No Internet Service,1,0,Month-to-Month,Bank transfer (automatic),$19.40,$198.10,No,10,1,0,1,0,0,3,20211107,$19.40
0212-ISBBF,Female,0,No,No,0,No Phone Service,1,DSL,2,0,Month-to-Month,Electronic check,$50.35,"$1,098.85",No,22,1,0,0,1,0,0,20211118,$50.35
0214-JHPFW,Female,0,Yes,No,0,No Phone Service,1,DSL,2,2,2 Year,Bank transfer (automatic),$57.80,"$4,039.30",No,70,1,0,0,1,0,1,20220105,$57.80
0215-BQKGS,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$84.30,"$2,438.60",No,29,0,0,1,1,1,0,20211125,$84.30
0218-QNVAS,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$100.55,"$7,113.75",No,71,0,0,1,1,1,3,20220106,$100.55
0219-QAERP,Male,0,Yes,No,1,One Line,0,No Internet Service,1,1,1 Year,Credit card (automatic),$19.80,$576.65,No,29,0,0,1,0,0,1,20211126,$19.80
0219-YTZUE,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$84.80,$371.90,Yes,4,0,1,1,1,1,3,20211101,$84.80
0220-EBGCE,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$85.85,$167.30,Yes,2,0,1,1,1,1,0,20211029,$85.85
0221-NAUXK,Male,0,No,Yes,1,One Line,0,No Internet Service,1,1,1 Year,Bank transfer (automatic),$19.95,$219.50,No,11,0,0,1,0,0,2,20211108,$19.95
0221-WMXNQ,Male,1,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$75.35,$273.40,No,4,0,0,1,1,1,0,20211031,$75.35
0222-CNVPT,Male,1,No,No,0,No Phone Service,1,DSL,2,0,Month-to-Month,Credit card (automatic),$48.80,"$2,555.05",No,52,0,0,0,1,0,0,20211219,$48.80
0224-HJAPT,Male,0,No,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Electronic check,$47.15,$223.15,Yes,5,0,1,1,1,1,0,20211101,$47.15
0224-NIJLP,Male,0,Yes,Yes,1,One Line,0,No Internet Service,1,2,2 Year,Mailed check,$20.15,$165.50,No,8,0,0,1,0,0,3,20211105,$20.15
0224-RLWWD,Female,1,No,No,1,One Line,1,DSL,3,0,Month-to-Month,Electronic check,$44.30,$89.30,No,2,1,0,1,1,1,0,20211030,$44.30
0225-ZORZP,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$84.30,$235.05,No,3,0,0,1,1,1,0,20211030,$84.30
0228-MAUWC,Male,0,No,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Electronic check,$59.55,"$1,144.60",No,19,0,0,1,1,1,0,20211116,$59.55
0229-LFJAF,Male,0,No,No,2,Two or More Lines,1,DSL,3,2,2 Year,Bank transfer (automatic),$69.65,"$4,908.25",No,70,0,0,1,1,1,0,20220106,$69.65
0230-UBYPQ,Male,1,Yes,No,0,No Phone Service,1,DSL,2,1,1 Year,Bank transfer (automatic),$36.10,"$2,298.90",No,64,0,0,0,1,0,1,20211230,$36.10
0230-WEQUW,Male,0,Yes,No,0,No Phone Service,1,DSL,2,2,2 Year,Bank transfer (automatic),$56.60,"$3,789.20",No,67,0,0,0,1,0,1,20220102,$56.60
0231-LXVAP,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$75.90,$75.90,Yes,1,0,1,1,1,1,0,20211029,$75.90
0233-FTHAV,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,1,1 Year,Bank transfer (automatic),$79.20,"$4,765.00",No,60,1,0,1,1,1,0,20211227,$79.20
0234-TEVTT,Female,0,Yes,Yes,0,No Phone Service,1,DSL,2,1,1 Year,Credit card (automatic),$45.00,"$2,196.30",No,49,1,0,0,1,0,3,20211215,$45.00
0235-KGSLC,Female,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Credit card (automatic),$85.55,$85.55,Yes,1,1,1,1,1,1,0,20211029,$85.55
0236-HFWSV,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$93.35,"$1,444.65",Yes,15,0,1,1,1,1,0,20211112,$93.35
0237-YFUTL,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Bank transfer (automatic),$109.65,"$5,405.80",No,49,1,0,1,1,1,1,20211216,$109.65
0238-WHBIQ,Male,0,Yes,Yes,2,Two or More Lines,1,DSL,3,2,2 Year,Credit card (automatic),$89.70,"$6,339.30",No,71,0,0,1,1,1,3,20220106,$89.70
0239-OXEXL,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$84.25,"$3,847.60",No,46,1,0,1,1,1,0,20211212,$84.25
0244-LGNFY,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,3,2,2 Year,Bank transfer (automatic),$92.65,"$6,733.00",No,73,1,0,1,1,1,3,20220108,$92.65
